timestamp,result,source_user,source_computer,destination_computer,ip_address,country,auth_type,logon_type,attack_campaign,session_id
2023-01-01 00:15:00,success,user2,SERVER-001,DC-001,172.16.0.8,United States,LDAP,Network,Normal Activity,SID-000016
2023-01-01 00:16:00,success,admin,PC-002,DC-001,172.16.0.8,United States,OAuth,Batch,Normal Activity,SID-000017
2023-01-01 00:17:00,success,service_account,PC-002,APP-SERVER-001,192.168.1.15,United States,SAML,Network,Normal Activity,SID-000018
2023-01-01 00:18:00,success,admin,SERVER-001,DC-001,192.168.1.15,United States,NTLM,Network,Normal Activity,SID-000019
2023-01-01 00:19:00,success,admin,PC-001,FILE-SERVER-001,172.16.0.8,United States,Kerberos,Service,Normal Activity,SID-000020
2023-01-01 00:20:00,success,user1,PC-003,APP-SERVER-001,172.16.0.8,United States,Kerberos,Interactive,Normal Activity,SID-000021
2023-01-01 00:21:00,success,service_account,PC-003,FILE-SERVER-001,10.0.0.5,Mexico,NTLM,Interactive,Normal Activity,SID-000022
2023-01-01 00:22:00,success,user3,PC-002,DB-SERVER-001,10.0.0.5,United States,SAML,RemoteInteractive,Normal Activity,SID-000023
2023-01-01 00:23:00,success,admin,PC-002,DB-SERVER-001,172.16.0.8,Canada,LDAP,Batch,Normal Activity,SID-000024
2023-01-01 00:24:00,success,svc_backup,SERVER-001,DC-001,10.0.1.20,United States,NTLM,Service,Normal Activity,SID-000025
2023-01-01 00:25:00,success,user1,LAPTOP-001,DC-001,10.0.1.20,United States,LDAP,Interactive,Normal Activity,SID-000026
2023-01-01 00:26:00,success,user2,PC-001,FILE-SERVER-001,10.0.0.5,United States,SAML,RemoteInteractive,Normal Activity,SID-000027
2023-01-01 00:27:00,success,admin,SERVER-002,FILE-SERVER-001,10.0.0.12,United States,OAuth,Service,Normal Activity,SID-000028
2023-01-01 00:28:00,success,admin,LAPTOP-001,FILE-SERVER-001,172.16.0.8,United States,OAuth,Network,Normal Activity,SID-000029
2023-01-01 00:29:00,success,user1,LAPTOP-001,DB-SERVER-001,192.168.1.15,United States,SAML,Interactive,Normal Activity,SID-000030
2023-01-01 00:30:00,success,user3,PC-002,FILE-SERVER-001,10.0.1.20,United States,LDAP,Batch,Normal Activity,SID-000031
2023-01-01 00:31:00,success,svc_backup,PC-002,APP-SERVER-001,10.0.0.12,United States,NTLM,Service,Normal Activity,SID-000032
2023-01-01 00:32:00,success,user2,PC-002,APP-SERVER-001,10.0.1.20,United States,SAML,RemoteInteractive,Normal Activity,SID-000033
2023-01-01 00:33:00,failure,admin,LAPTOP-001,DB-SERVER-001,10.0.0.12,United States,SAML,Batch,Normal Activity,SID-000034
2023-01-01 00:34:00,failure,user3,PC-001,FILE-SERVER-001,172.16.0.8,United States,OAuth,Network,Normal Activity,SID-000035
2023-01-01 00:35:00,success,service_account,PC-002,FILE-SERVER-001,172.16.0.8,United States,NTLM,Batch,Normal Activity,SID-000036
2023-01-01 00:36:00,success,svc_backup,PC-003,DC-001,172.16.0.8,United States,OAuth,RemoteInteractive,Normal Activity,SID-000037
2023-01-01 00:37:00,success,service_account,PC-001,APP-SERVER-001,10.0.0.5,Mexico,LDAP,Network,Normal Activity,SID-000038
2023-01-01 00:38:00,success,svc_backup,PC-003,DB-SERVER-001,10.0.0.12,United States,LDAP,RemoteInteractive,Normal Activity,SID-000039
2023-01-01 00:39:00,success,user2,PC-001,FILE-SERVER-001,192.168.1.15,United States,Kerberos,Interactive,Normal Activity,SID-000040
2023-01-01 00:40:00,success,analyst1,PC-002,DC-001,192.168.1.15,United States,SAML,RemoteInteractive,Normal Activity,SID-000041
2023-01-01 00:41:00,success,svc_backup,SERVER-002,DB-SERVER-001,172.16.0.8,Canada,NTLM,Batch,Normal Activity,SID-000042
2023-01-01 00:42:00,success,analyst1,SERVER-001,DB-SERVER-001,192.168.1.15,United States,NTLM,Interactive,Normal Activity,SID-000043
2023-01-01 00:43:00,success,service_account,PC-002,APP-SERVER-001,10.0.1.20,United States,OAuth,Interactive,Normal Activity,SID-000044
2023-01-01 00:44:00,success,svc_backup,LAPTOP-001,FILE-SERVER-001,10.0.0.12,United States,OAuth,Service,Normal Activity,SID-000045
2023-01-01 00:45:00,success,user2,SERVER-002,DB-SERVER-001,10.0.0.12,Canada,NTLM,Batch,Normal Activity,SID-000046
2023-01-01 00:46:00,success,user1,LAPTOP-001,DC-001,10.0.0.12,United States,OAuth,Batch,Normal Activity,SID-000047
2023-01-01 00:47:00,success,user2,PC-001,DC-001,10.0.1.20,Mexico,Kerberos,Network,Normal Activity,SID-000048
2023-01-01 00:48:00,success,user2,LAPTOP-001,DB-SERVER-001,10.0.0.5,United States,SAML,RemoteInteractive,Normal Activity,SID-000049
2023-01-01 00:49:00,success,user1,SERVER-002,DC-001,10.0.1.20,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000050
2023-01-01 00:50:00,failure,user1,SERVER-002,DB-SERVER-001,10.0.0.12,United States,LDAP,Batch,Normal Activity,SID-000051
2023-01-01 00:51:00,success,user3,PC-002,DC-001,10.0.0.12,United States,NTLM,RemoteInteractive,Normal Activity,SID-000052
2023-01-01 00:52:00,failure,svc_backup,PC-003,DB-SERVER-001,10.0.0.12,Canada,Kerberos,Batch,Normal Activity,SID-000053
2023-01-01 00:53:00,success,service_account,PC-002,DB-SERVER-001,192.168.1.15,United States,Kerberos,Interactive,Normal Activity,SID-000054
2023-01-01 00:54:00,success,user3,PC-001,DB-SERVER-001,10.0.0.5,United States,OAuth,RemoteInteractive,Normal Activity,SID-000055
2023-01-01 00:55:00,failure,user1,LAPTOP-001,DC-001,10.0.1.20,United States,OAuth,RemoteInteractive,Normal Activity,SID-000056
2023-01-01 00:56:00,success,analyst1,PC-003,DB-SERVER-001,10.0.0.12,United States,OAuth,Batch,Normal Activity,SID-000057
2023-01-01 00:57:00,success,service_account,SERVER-001,APP-SERVER-001,172.16.0.8,United States,LDAP,Batch,Normal Activity,SID-000058
2023-01-01 00:58:00,success,analyst1,SERVER-002,DB-SERVER-001,10.0.0.5,United States,Kerberos,Network,Normal Activity,SID-000059
2023-01-01 00:59:00,success,user2,PC-003,FILE-SERVER-001,172.16.0.8,United States,SAML,RemoteInteractive,Normal Activity,SID-000060
2023-01-01 01:00:00,success,admin,PC-003,FILE-SERVER-001,10.0.0.5,United States,OAuth,Service,Normal Activity,SID-000061
2023-01-01 01:01:00,success,user2,PC-002,APP-SERVER-001,10.0.0.12,United States,LDAP,Batch,Normal Activity,SID-000062
2023-01-01 01:02:00,success,user2,SERVER-001,DB-SERVER-001,10.0.0.5,United States,LDAP,Service,Normal Activity,SID-000063
2023-01-01 01:03:00,success,admin,SERVER-002,FILE-SERVER-001,10.0.0.5,United States,OAuth,Interactive,Normal Activity,SID-000064
2023-01-01 01:04:00,success,svc_backup,PC-001,DB-SERVER-001,10.0.0.12,United States,NTLM,Interactive,Normal Activity,SID-000065
2023-01-01 01:05:00,success,user1,PC-001,FILE-SERVER-001,172.16.0.8,Canada,Kerberos,Service,Normal Activity,SID-000066
2023-01-01 01:06:00,success,analyst1,PC-003,DC-001,172.16.0.8,United States,OAuth,Interactive,Normal Activity,SID-000067
2023-01-01 01:07:00,success,user2,PC-003,DC-001,192.168.1.15,Mexico,SAML,Service,Normal Activity,SID-000068
2023-01-01 01:08:00,success,admin,LAPTOP-001,APP-SERVER-001,172.16.0.8,United States,Kerberos,Network,Normal Activity,SID-000069
2023-01-01 01:09:00,failure,user3,SERVER-001,APP-SERVER-001,172.16.0.8,United States,LDAP,Network,Normal Activity,SID-000070
2023-01-01 01:10:00,success,user2,SERVER-002,DB-SERVER-001,10.0.0.5,United States,SAML,Interactive,Normal Activity,SID-000071
2023-01-01 01:11:00,success,analyst1,PC-003,APP-SERVER-001,192.168.1.15,United States,Kerberos,Service,Normal Activity,SID-000072
2023-01-01 01:12:00,success,user1,LAPTOP-001,DB-SERVER-001,10.0.0.12,United States,SAML,Service,Normal Activity,SID-000073
2023-01-01 01:13:00,success,user2,SERVER-001,DC-001,10.0.0.12,United States,LDAP,Service,Normal Activity,SID-000074
2023-01-01 01:14:00,success,user2,SERVER-002,DC-001,10.0.1.20,United States,OAuth,Interactive,Normal Activity,SID-000075
2023-01-01 01:15:00,success,svc_backup,PC-001,FILE-SERVER-001,192.168.1.15,United States,SAML,Service,Normal Activity,SID-000076
2023-01-01 01:16:00,success,admin,LAPTOP-001,DB-SERVER-001,10.0.0.5,United States,OAuth,Batch,Normal Activity,SID-000077
2023-01-01 01:17:00,success,user3,SERVER-001,DC-001,10.0.1.20,United States,LDAP,Service,Normal Activity,SID-000078
2023-01-01 01:18:00,success,user3,LAPTOP-001,DC-001,10.0.1.20,United States,LDAP,Batch,Normal Activity,SID-000079
2023-01-01 01:19:00,success,service_account,PC-003,DB-SERVER-001,10.0.0.12,United States,SAML,Network,Normal Activity,SID-000080
2023-01-01 01:20:00,success,user1,PC-002,FILE-SERVER-001,172.16.0.8,United States,SAML,Batch,Normal Activity,SID-000081
2023-01-01 01:21:00,success,service_account,PC-001,FILE-SERVER-001,10.0.0.5,Canada,LDAP,Network,Normal Activity,SID-000082
2023-01-01 01:22:00,success,analyst1,PC-003,FILE-SERVER-001,192.168.1.15,Mexico,SAML,Interactive,Normal Activity,SID-000083
2023-01-01 01:23:00,success,user1,PC-003,FILE-SERVER-001,10.0.1.20,United States,SAML,Network,Normal Activity,SID-000084
2023-01-01 01:24:00,success,user2,SERVER-001,DC-001,10.0.0.5,United States,SAML,Network,Normal Activity,SID-000085
2023-01-01 01:25:00,success,user2,LAPTOP-001,DB-SERVER-001,10.0.0.12,United States,SAML,Service,Normal Activity,SID-000086
2023-01-01 01:26:00,success,user3,PC-001,DB-SERVER-001,10.0.1.20,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000087
2023-01-01 01:27:00,success,analyst1,PC-003,DC-001,10.0.1.20,United States,LDAP,Network,Normal Activity,SID-000088
2023-01-01 01:28:00,success,admin,SERVER-001,DC-001,10.0.0.12,Canada,LDAP,Batch,Normal Activity,SID-000089
2023-01-01 01:29:00,success,analyst1,PC-001,DC-001,10.0.0.12,United States,NTLM,Interactive,Normal Activity,SID-000090
2023-01-01 01:30:00,success,user2,LAPTOP-001,APP-SERVER-001,10.0.0.12,United States,OAuth,Batch,Normal Activity,SID-000091
2023-01-01 01:31:00,success,admin,PC-003,DB-SERVER-001,10.0.0.5,United States,NTLM,Interactive,Normal Activity,SID-000092
2023-01-01 01:32:00,success,analyst1,SERVER-002,DB-SERVER-001,10.0.0.5,United States,SAML,Batch,Normal Activity,SID-000093
2023-01-01 01:33:00,success,analyst1,PC-003,DB-SERVER-001,10.0.0.5,United States,SAML,Network,Normal Activity,SID-000094
2023-01-01 01:34:00,success,admin,PC-003,FILE-SERVER-001,172.16.0.8,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000095
2023-01-01 01:35:00,success,user2,PC-001,DC-001,10.0.1.20,United States,Kerberos,Network,Normal Activity,SID-000096
2023-01-01 01:36:00,success,analyst1,PC-001,DC-001,10.0.0.5,United States,Kerberos,Service,Normal Activity,SID-000097
2023-01-01 01:37:00,success,admin,PC-001,DC-001,172.16.0.8,Mexico,Kerberos,Batch,Normal Activity,SID-000098
2023-01-01 01:38:00,success,svc_backup,PC-001,APP-SERVER-001,10.0.1.20,Canada,Kerberos,RemoteInteractive,Normal Activity,SID-000099
2023-01-01 01:39:00,success,svc_backup,SERVER-001,DB-SERVER-001,10.0.0.5,United States,Kerberos,Batch,Normal Activity,SID-000100
2023-01-01 01:40:00,success,user2,PC-002,DC-001,10.0.0.12,United States,Kerberos,Service,Normal Activity,SID-000101
2023-01-01 01:41:00,success,admin,SERVER-001,APP-SERVER-001,192.168.1.15,United States,Kerberos,Service,Normal Activity,SID-000102
2023-01-01 01:42:00,success,svc_backup,PC-003,DC-001,10.0.0.5,United States,Kerberos,Service,Normal Activity,SID-000103
2023-01-01 01:43:00,success,admin,SERVER-001,FILE-SERVER-001,192.168.1.15,Canada,LDAP,Network,Normal Activity,SID-000104
2023-01-01 01:44:00,success,analyst1,LAPTOP-001,DB-SERVER-001,10.0.0.5,United States,Kerberos,Network,Normal Activity,SID-000105
2023-01-01 01:45:00,success,user2,SERVER-002,APP-SERVER-001,10.0.0.12,United States,OAuth,RemoteInteractive,Normal Activity,SID-000106
2023-01-01 01:46:00,success,svc_backup,PC-001,DC-001,192.168.1.15,United States,Kerberos,Service,Normal Activity,SID-000107
2023-01-01 01:47:00,success,service_account,LAPTOP-001,DB-SERVER-001,172.16.0.8,United States,SAML,Network,Normal Activity,SID-000108
2023-01-01 01:48:00,success,analyst1,SERVER-002,APP-SERVER-001,10.0.0.12,Canada,SAML,Interactive,Normal Activity,SID-000109
2023-01-01 01:49:00,success,service_account,LAPTOP-001,DB-SERVER-001,192.168.1.15,United States,Kerberos,Interactive,Normal Activity,SID-000110
2023-01-01 01:50:00,success,service_account,PC-003,DB-SERVER-001,192.168.1.15,United States,Kerberos,Network,Normal Activity,SID-000111
2023-01-01 01:51:00,success,user1,PC-001,FILE-SERVER-001,10.0.0.12,United States,SAML,RemoteInteractive,Normal Activity,SID-000112
2023-01-01 01:52:00,failure,user1,LAPTOP-001,DB-SERVER-001,10.0.0.12,United States,OAuth,Batch,Normal Activity,SID-000113
2023-01-01 01:53:00,success,user2,PC-003,APP-SERVER-001,10.0.0.12,United States,NTLM,Service,Normal Activity,SID-000114
2023-01-01 01:54:00,success,svc_backup,PC-001,DB-SERVER-001,10.0.1.20,Canada,LDAP,Network,Normal Activity,SID-000115
2023-01-01 01:55:00,success,svc_backup,PC-002,APP-SERVER-001,172.16.0.8,United States,SAML,RemoteInteractive,Normal Activity,SID-000116
2023-01-01 01:56:00,success,svc_backup,PC-003,DB-SERVER-001,10.0.0.5,Canada,Kerberos,Batch,Normal Activity,SID-000117
2023-01-01 01:57:00,success,admin,SERVER-001,DC-001,192.168.1.15,Mexico,LDAP,RemoteInteractive,Normal Activity,SID-000118
2023-01-01 01:58:00,success,analyst1,PC-001,FILE-SERVER-001,10.0.0.5,United States,Kerberos,Batch,Normal Activity,SID-000119
2023-01-01 01:59:00,success,svc_backup,LAPTOP-001,DC-001,10.0.0.12,United States,NTLM,Interactive,Normal Activity,SID-000120
2023-01-01 02:00:00,success,analyst1,SERVER-002,FILE-SERVER-001,172.16.0.8,Canada,NTLM,Batch,Normal Activity,SID-000121
2023-01-01 02:01:00,success,user2,LAPTOP-001,APP-SERVER-001,172.16.0.8,United States,SAML,Interactive,Normal Activity,SID-000122
2023-01-01 02:02:00,success,service_account,SERVER-001,FILE-SERVER-001,10.0.1.20,United States,LDAP,Service,Normal Activity,SID-000123
2023-01-01 02:03:00,success,svc_backup,SERVER-001,DB-SERVER-001,10.0.0.12,United States,LDAP,Network,Normal Activity,SID-000124
2023-01-01 02:04:00,success,user2,LAPTOP-001,DB-SERVER-001,192.168.1.15,United States,NTLM,Interactive,Normal Activity,SID-000125
2023-01-01 02:05:00,success,svc_backup,SERVER-002,DC-001,10.0.1.20,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000126
2023-01-01 02:06:00,success,user1,PC-001,FILE-SERVER-001,10.0.0.12,United States,SAML,Batch,Normal Activity,SID-000127
2023-01-01 02:07:00,success,user3,PC-003,APP-SERVER-001,10.0.1.20,United States,OAuth,RemoteInteractive,Normal Activity,SID-000128
2023-01-01 02:08:00,success,user2,SERVER-001,APP-SERVER-001,10.0.0.5,United States,NTLM,Interactive,Normal Activity,SID-000129
2023-01-01 02:09:00,success,svc_backup,SERVER-001,DB-SERVER-001,10.0.0.12,United States,NTLM,RemoteInteractive,Normal Activity,SID-000130
2023-01-01 02:10:00,success,user3,SERVER-001,APP-SERVER-001,192.168.1.15,United States,SAML,Batch,Normal Activity,SID-000131
2023-01-01 02:11:00,success,user2,SERVER-002,DB-SERVER-001,192.168.1.15,United States,Kerberos,Network,Normal Activity,SID-000132
2023-01-01 02:12:00,success,admin,PC-002,DB-SERVER-001,10.0.0.12,United States,LDAP,RemoteInteractive,Normal Activity,SID-000133
2023-01-01 02:13:00,success,svc_backup,SERVER-002,DB-SERVER-001,10.0.1.20,United States,NTLM,Service,Normal Activity,SID-000134
2023-01-01 02:14:00,failure,admin,PC-001,DC-001,172.16.0.8,United States,SAML,Batch,Normal Activity,SID-000135
2023-01-01 02:15:00,success,user1,PC-001,DC-001,10.0.0.12,United States,SAML,Batch,Normal Activity,SID-000136
2023-01-01 02:16:00,success,svc_backup,PC-001,DB-SERVER-001,192.168.1.15,United States,SAML,Service,Normal Activity,SID-000137
2023-01-01 02:17:00,success,service_account,PC-001,DB-SERVER-001,10.0.0.5,Canada,LDAP,Interactive,Normal Activity,SID-000138
2023-01-01 02:18:00,success,user1,PC-001,DB-SERVER-001,192.168.1.15,United States,NTLM,Service,Normal Activity,SID-000139
2023-01-01 02:19:00,failure,user3,LAPTOP-001,APP-SERVER-001,172.16.0.8,United States,SAML,Interactive,Normal Activity,SID-000140
2023-01-01 02:20:00,failure,user2,SERVER-001,DB-SERVER-001,192.168.1.15,United States,LDAP,Network,Normal Activity,SID-000141
2023-01-01 02:21:00,success,analyst1,SERVER-002,DB-SERVER-001,172.16.0.8,Canada,Kerberos,Interactive,Normal Activity,SID-000142
2023-01-01 02:22:00,success,user1,LAPTOP-001,FILE-SERVER-001,10.0.0.12,United States,OAuth,Network,Normal Activity,SID-000143
2023-01-01 02:23:00,success,analyst1,SERVER-002,FILE-SERVER-001,192.168.1.15,United States,NTLM,Network,Normal Activity,SID-000144
2023-01-01 02:24:00,success,analyst1,PC-002,FILE-SERVER-001,10.0.1.20,United States,LDAP,Service,Normal Activity,SID-000145
2023-01-01 02:25:00,success,user2,PC-003,FILE-SERVER-001,10.0.1.20,United States,OAuth,Network,Normal Activity,SID-000146
2023-01-01 02:26:00,success,user3,SERVER-001,DB-SERVER-001,192.168.1.15,United States,OAuth,Interactive,Normal Activity,SID-000147
2023-01-01 02:27:00,success,user2,PC-002,FILE-SERVER-001,192.168.1.15,United States,LDAP,RemoteInteractive,Normal Activity,SID-000148
2023-01-01 02:28:00,success,svc_backup,LAPTOP-001,APP-SERVER-001,10.0.0.5,Canada,LDAP,Batch,Normal Activity,SID-000149
2023-01-01 02:29:00,success,user1,PC-003,APP-SERVER-001,192.168.1.15,United States,LDAP,Batch,Normal Activity,SID-000150
2023-01-01 02:30:00,success,analyst1,PC-002,FILE-SERVER-001,10.0.0.5,Canada,SAML,Interactive,Normal Activity,SID-000151
2023-01-01 02:31:00,success,user2,SERVER-002,DC-001,10.0.0.5,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000152
2023-01-01 02:32:00,success,user2,PC-003,APP-SERVER-001,10.0.0.5,United States,SAML,Network,Normal Activity,SID-000153
2023-01-01 02:33:00,success,user2,SERVER-002,APP-SERVER-001,10.0.0.5,Canada,OAuth,Interactive,Normal Activity,SID-000154
2023-01-01 02:34:00,failure,user1,PC-002,FILE-SERVER-001,10.0.0.12,United States,OAuth,Network,Normal Activity,SID-000155
2023-01-01 02:35:00,success,user3,LAPTOP-001,FILE-SERVER-001,10.0.1.20,United States,OAuth,Service,Normal Activity,SID-000156
2023-01-01 02:36:00,success,service_account,SERVER-002,DB-SERVER-001,10.0.0.5,United States,LDAP,RemoteInteractive,Normal Activity,SID-000157
2023-01-01 02:37:00,success,user2,PC-003,APP-SERVER-001,10.0.1.20,Canada,NTLM,Batch,Normal Activity,SID-000158
2023-01-01 02:38:00,success,user1,PC-002,FILE-SERVER-001,10.0.0.5,United States,SAML,Interactive,Normal Activity,SID-000159
2023-01-01 02:39:00,success,analyst1,SERVER-002,FILE-SERVER-001,10.0.1.20,United States,NTLM,Batch,Normal Activity,SID-000160
2023-01-01 02:40:00,success,svc_backup,LAPTOP-001,DB-SERVER-001,192.168.1.15,United States,Kerberos,Network,Normal Activity,SID-000161
2023-01-01 02:41:00,success,service_account,SERVER-001,APP-SERVER-001,192.168.1.15,Canada,Kerberos,Network,Normal Activity,SID-000162
2023-01-01 02:42:00,success,admin,LAPTOP-001,FILE-SERVER-001,10.0.1.20,Mexico,SAML,Service,Normal Activity,SID-000163
2023-01-01 02:43:00,success,service_account,LAPTOP-001,DB-SERVER-001,10.0.0.5,United States,OAuth,Network,Normal Activity,SID-000164
2023-01-01 02:44:00,success,service_account,SERVER-001,FILE-SERVER-001,10.0.0.12,United States,Kerberos,Network,Normal Activity,SID-000165
2023-01-01 02:45:00,success,user1,LAPTOP-001,DC-001,10.0.1.20,Canada,NTLM,Batch,Normal Activity,SID-000166
2023-01-01 02:46:00,success,admin,SERVER-001,DC-001,172.16.0.8,United States,NTLM,Batch,Normal Activity,SID-000167
2023-01-01 02:47:00,success,user2,SERVER-001,FILE-SERVER-001,10.0.0.12,United States,LDAP,Interactive,Normal Activity,SID-000168
2023-01-01 02:48:00,success,user2,SERVER-002,APP-SERVER-001,172.16.0.8,United States,OAuth,Interactive,Normal Activity,SID-000169
2023-01-01 02:49:00,success,service_account,SERVER-002,DC-001,10.0.1.20,United States,LDAP,Network,Normal Activity,SID-000170
2023-01-01 02:50:00,success,user1,SERVER-001,DB-SERVER-001,10.0.0.5,United States,SAML,RemoteInteractive,Normal Activity,SID-000171
2023-01-01 02:51:00,success,admin,PC-002,FILE-SERVER-001,172.16.0.8,United States,Kerberos,Interactive,Normal Activity,SID-000172
2023-01-01 02:52:00,success,user2,PC-003,DB-SERVER-001,10.0.1.20,United States,LDAP,Network,Normal Activity,SID-000173
2023-01-01 02:53:00,success,analyst1,PC-002,DC-001,10.0.0.12,Canada,LDAP,Batch,Normal Activity,SID-000174
2023-01-01 02:54:00,success,user3,SERVER-001,APP-SERVER-001,10.0.0.5,United States,SAML,Service,Normal Activity,SID-000175
2023-01-01 02:55:00,success,user3,PC-003,DB-SERVER-001,172.16.0.8,United States,NTLM,Batch,Normal Activity,SID-000176
2023-01-01 02:56:00,success,user2,SERVER-002,DC-001,10.0.1.20,Canada,NTLM,Batch,Normal Activity,SID-000177
2023-01-01 02:57:00,success,admin,PC-003,DC-001,10.0.0.5,United States,SAML,Service,Normal Activity,SID-000178
2023-01-01 02:58:00,failure,svc_backup,SERVER-001,DC-001,10.0.0.5,United States,NTLM,Batch,Normal Activity,SID-000179
2023-01-01 02:59:00,success,user2,SERVER-002,DB-SERVER-001,192.168.1.15,United States,SAML,Interactive,Normal Activity,SID-000180
2023-01-01 03:00:00,success,svc_backup,PC-003,DC-001,10.0.0.5,United States,NTLM,Batch,Normal Activity,SID-000181
2023-01-01 03:01:00,success,svc_backup,PC-003,FILE-SERVER-001,10.0.1.20,United States,SAML,Service,Normal Activity,SID-000182
2023-01-01 03:02:00,failure,admin,PC-002,DC-001,10.0.0.12,United States,NTLM,Network,Normal Activity,SID-000183
2023-01-01 03:03:00,success,svc_backup,PC-003,FILE-SERVER-001,192.168.1.15,United States,LDAP,Network,Normal Activity,SID-000184
2023-01-01 03:04:00,success,analyst1,SERVER-001,APP-SERVER-001,10.0.1.20,United States,LDAP,Network,Normal Activity,SID-000185
2023-01-01 03:05:00,success,admin,PC-001,FILE-SERVER-001,10.0.1.20,United States,NTLM,Service,Normal Activity,SID-000186
2023-01-01 03:06:00,success,user2,PC-001,APP-SERVER-001,10.0.1.20,United States,SAML,Service,Normal Activity,SID-000187
2023-01-01 03:07:00,success,service_account,PC-001,APP-SERVER-001,172.16.0.8,United States,LDAP,Interactive,Normal Activity,SID-000188
2023-01-01 03:08:00,success,analyst1,SERVER-001,FILE-SERVER-001,172.16.0.8,United States,Kerberos,Service,Normal Activity,SID-000189
2023-01-01 03:09:00,success,user1,PC-001,APP-SERVER-001,10.0.0.12,United States,NTLM,Network,Normal Activity,SID-000190
2023-01-01 03:10:00,success,user3,PC-002,FILE-SERVER-001,10.0.1.20,United States,Kerberos,Service,Normal Activity,SID-000191
2023-01-01 03:11:00,success,user2,SERVER-001,DB-SERVER-001,172.16.0.8,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000192
2023-01-01 03:12:00,success,user2,SERVER-002,APP-SERVER-001,172.16.0.8,United States,OAuth,Batch,Normal Activity,SID-000193
2023-01-01 03:13:00,success,user2,SERVER-001,FILE-SERVER-001,172.16.0.8,United States,Kerberos,Interactive,Normal Activity,SID-000194
2023-01-01 03:14:00,success,analyst1,SERVER-001,APP-SERVER-001,10.0.0.12,United States,Kerberos,Network,Normal Activity,SID-000195
2023-01-01 03:15:00,success,user1,PC-003,DC-001,10.0.0.12,United States,OAuth,Network,Normal Activity,SID-000196
2023-01-01 03:16:00,success,service_account,PC-003,FILE-SERVER-001,10.0.1.20,United States,OAuth,RemoteInteractive,Normal Activity,SID-000197
2023-01-01 03:17:00,success,admin,PC-003,DC-001,192.168.1.15,United States,OAuth,Interactive,Normal Activity,SID-000198
2023-01-01 03:18:00,success,user1,LAPTOP-001,APP-SERVER-001,10.0.1.20,United States,SAML,Batch,Normal Activity,SID-000199
2023-01-01 03:19:00,success,analyst1,PC-002,APP-SERVER-001,172.16.0.8,Canada,OAuth,Interactive,Normal Activity,SID-000200
2023-01-01 03:20:00,success,user2,SERVER-001,DB-SERVER-001,172.16.0.8,United States,SAML,Interactive,Normal Activity,SID-000201
2023-01-01 03:21:00,success,user3,SERVER-001,FILE-SERVER-001,10.0.0.5,United States,NTLM,Network,Normal Activity,SID-000202
2023-01-01 03:22:00,success,user2,PC-003,DC-001,10.0.1.20,Mexico,SAML,Service,Normal Activity,SID-000203
2023-01-01 03:23:00,success,admin,SERVER-001,DB-SERVER-001,172.16.0.8,United States,NTLM,Batch,Normal Activity,SID-000204
